aX,aY,aZ,gX,gY,gZ,output
12.58,2.97,7.37,2.91,-1.59,2.5,backhand 
14.43,2.38,4.44,3.04,-1.12,2.18,backhand 
15.46,2.14,2.99,2.71,-0.9,1.61,backhand 
7.47,5.66,13.33,-0.6,-0.27,1.58,backhand 
7.49,5.01,13.42,-0.67,-0.28,1.47,backhand 
7.19,5.01,13.82,-0.68,-0.17,1.45,backhand 
7.27,5.58,13.82,-0.65,0.04,1.43,backhand 
7.41,5.81,13.97,-0.57,0.27,1.39,backhand 
7.37,5.77,14.23,-0.48,0.4,1.36,backhand 
7.2,5.66,14.44,-0.41,0.4,1.36,backhand 
7.24,5.35,14.94,-0.33,0.32,1.39,backhand 
7.03,5.04,14.78,-0.19,0.19,1.51,backhand 
7.31,5.32,14.05,-0.11,0.14,1.68,backhand 
7.77,9.11,12.47,-0.09,0.62,3.27,backhand 
7.86,8.77,12.55,0.14,0.53,3.65,backhand 
10.21,8.44,12.76,0.41,0.64,3.77,backhand 
14.05,8.45,12.83,0.6,0.93,3.29,backhand 
14.03,8.11,12.49,0.64,1.17,2.7,backhand 
12.27,8.21,11.94,0.57,1.36,2.46,backhand 
11.02,8.52,12.28,0.47,1.09,2.54,backhand 
10.57,8.4,12.57,0.55,0.58,2.75,backhand 
10.73,7.95,13,0.83,0.18,3.01,backhand 
11.16,7.54,13.26,1.21,-0.08,3.22,backhand 
14.89,1.26,3.27,4.22,-2.2,1.19,backhand 
15.28,1.09,1.73,4.03,-2.29,0.8,backhand 
15.19,0.66,0.48,3.74,-2.18,0.46,backhand 
14.76,0.38,0.11,3.31,-2.14,0.17,backhand 
13.8,0.06,0.06,2.89,-2.07,-0.01,backhand 
13.49,-0.43,0.19,2.58,-1.85,-0.1,backhand 
13.88,-0.98,-0.03,2.36,-1.57,-0.24,backhand 
14.22,-1.06,0.34,2.16,-1.52,-0.35,backhand 
14.59,-1.54,1.1,1.98,-1.77,-0.41,backhand 
14.47,-1.96,1.47,1.82,-2.19,-0.44,backhand 
11.18,2.05,5.97,3.56,-3.48,2.52,backhand 
11.73,1.75,4.74,3.5,-3.51,2.29,backhand 
12.08,1.09,3.7,3.41,-3.31,1.93,backhand 
14.44,-0.55,7.92,3.34,-1.33,1.81,backhand 
14.65,-0.99,7.99,3.27,-0.97,1.43,backhand 
14.48,-1.41,7.85,3.3,-0.87,1.14,backhand 
14.64,-1.58,7.05,3.28,-0.93,0.94,backhand 
15.05,-1.03,6.24,3.09,-1.06,0.69,backhand 
15.09,-0.55,6.17,2.77,-1.12,0.42,backhand 
14.86,-0.47,6.63,2.47,-1.16,0.15,backhand 
14.37,-0.44,7.12,2.35,-1.09,-0.07,backhand 
14.34,-0.73,7.13,2.36,-0.95,-0.28,backhand 
14.71,-0.83,6.62,2.38,-0.77,-0.5,backhand 
17.96,0.14,6.98,2.04,-2.19,-0.15,backhand 
18.61,0.38,7.37,2.43,-1.66,-0.94,backhand 
17.31,1.23,7.84,2.85,-1.16,-1.55,backhand 
15.36,1.66,7.9,3.19,-1.1,-1.74,backhand 
13.66,1.25,7.67,3.43,-1.57,-1.51,backhand 
12.26,0.29,6.67,3.54,-2.45,-1.08,backhand 
11.34,-0.56,4.8,3.51,-3.37,-0.64,backhand 
11.29,-1.17,2.77,3.34,-3.98,-0.36,backhand 
12.6,-1.48,0.91,3.07,-3.93,-0.4,backhand 
13.83,-1.51,-0.7,2.69,-3.35,-0.82,backhand 
13.94,-2.23,0.96,2.01,-3.09,-1.93,backhand 
13.04,-2.65,-0.06,1.91,-2.67,-2.09,backhand 
11.54,-2.79,-0.12,1.75,-2.5,-2.14,backhand 
10.39,-3.63,0.31,1.67,-2.56,-2,backhand 
9.33,-4.36,0.65,1.67,-2.66,-1.69,backhand 
9.47,-5.18,0.12,1.68,-2.83,-1.3,backhand 
9.96,-6.26,-0.48,1.53,-2.95,-1.04,backhand 
10.28,-6.9,-1.05,1.15,-2.91,-0.94,backhand 
10.66,-6.95,-1.16,0.58,-2.46,-1.04,backhand 
10.3,-7.36,-0.68,-0.07,-1.92,-1.3,backhand 
7,6.72,15.91,1.09,0.26,1.85,backhand 
7.08,6.5,15.66,1.23,-0.06,1.95,backhand 
7.23,6.4,14.75,1.29,-0.38,1.97,backhand 
7.3,6.59,14.11,1.19,-0.52,1.88,backhand 
7.36,6.83,13.92,0.97,-0.43,1.73,backhand 
7.56,7.02,14.78,0.84,-0.28,1.59,backhand 
7.72,7.1,16.07,0.96,-0.22,1.46,backhand 
7.71,7.3,16.66,1.27,-0.3,1.36,backhand 
7.55,7.64,16.03,1.52,-0.47,1.44,backhand 
7.82,8.04,15.71,1.62,-0.72,1.58,backhand 
11.08,-0.64,1.47,2.89,-1.72,-0.72,backhand 
10.73,-1.02,2.78,2.41,-1.86,-0.34,backhand 
10.93,-1.33,3.55,2.12,-2.12,0.04,backhand 
11.52,-1.86,3.81,1.94,-2.45,0.32,backhand 
11.82,-1.87,3.83,1.72,-2.68,0.5,backhand 
12.29,-1.82,3.94,1.41,-2.86,0.57,backhand 
12.19,-2.24,4.47,1.04,-2.94,0.57,backhand 
11.74,-2.43,4.98,0.67,-3.04,0.48,backhand 
10.94,-2.81,5.17,0.34,-3,0.36,backhand 
10.07,-3.23,5.26,0.08,-2.8,0.21,backhand 
10.74,5.13,15.51,2.04,-0.43,1.79,backhand 
10.85,5.29,15.54,2.29,-0.69,1.87,backhand 
11.32,5.06,15.27,2.53,-0.96,1.95,backhand 
11.86,4.95,14.74,2.68,-1.24,1.91,backhand 
12.02,5.18,14.56,2.75,-1.48,1.81,backhand 
12.11,5.2,14.93,2.87,-1.71,1.7,backhand 
12.1,5.18,15.26,3.08,-1.99,1.6,backhand 
12.05,5.03,15.28,3.42,-2.25,1.54,backhand 
12.59,4.73,14.56,3.8,-2.46,1.44,backhand 
13.2,4.74,13.47,4.04,-2.63,1.27,backhand 
12.42,-2.32,3.24,0.31,-3.14,-0.31,backhand 
12.62,-2.86,2.92,0.31,-3.15,-0.27,backhand 
12.38,-3.23,2.16,0.38,-2.91,-0.32,backhand 
12.47,-3.11,2.03,0.31,-2.58,-0.44,backhand 
12.33,-2.46,2.55,0.17,-2.19,-0.61,backhand 
11.71,-3.15,4.25,0.37,-2.28,-0.7,backhand 
11.81,-3.79,3.95,0.41,-2.4,-0.72,backhand 
10.8,-3.86,3.87,0.31,-2.71,-0.72,backhand 
9.29,-3.78,2.28,-0.55,-2.28,-0.69,backhand 
8.32,-3.83,3.99,-1.15,-2.06,-0.58,backhand 
13.04,5.36,9.94,2.82,-0.55,1.38,backhand 
12.64,5.36,9.9,2.64,-0.46,1.03,backhand 
12,5.23,10.31,2.54,-0.42,0.8,backhand 
11.18,5.24,10.7,2.55,-0.43,0.68,backhand 
10.72,5.54,10.58,2.6,-0.52,0.66,backhand 
10.94,5.66,10.44,2.67,-0.72,0.73,backhand 
11.86,5.4,10.02,2.72,-0.91,0.78,backhand 
12.79,5.13,9.49,2.77,-1.11,0.68,backhand 
12.67,5.17,8.55,2.78,-1.28,0.56,backhand 
12.51,5.31,7.52,2.73,-1.31,0.47,backhand 
8.55,-5.33,3.67,-0.69,-2.69,-0.6,backhand 
8.64,-5.54,2.74,-1.03,-2.88,-0.52,backhand 
8.35,-5.34,2.49,-1.53,-2.61,-0.61,backhand 
7.33,-4.9,3.78,-1.99,-2.14,-0.69,backhand 
6.36,-4.2,5.36,-2.27,-1.76,-0.6,backhand 
5.3,-3.43,6.7,-2.35,-1.66,-0.31,backhand 
5,-2.5,7.29,-2.34,-1.73,0.1,backhand 
5.97,-1.79,7.28,-2.43,-1.79,0.44,backhand 
6.84,-1.69,7.37,-2.73,-1.89,0.56,backhand 
7.46,-2.04,7.35,-3.14,-1.96,0.41,backhand 
9.81,4.95,9.59,4.37,-2.62,2.39,backhand 
9.22,4.48,8.11,4.37,-2.51,2.54,backhand 
9.52,3.54,6.94,4.37,-2.4,2.7,backhand 
11.4,2.66,6.52,4.37,-2.31,2.6,backhand 
14.18,1.9,4.77,4.37,-2.29,2.28,backhand 
14.32,1.71,2.55,4.37,-2.43,1.86,backhand 
13.71,1.57,1.05,4.37,-2.66,1.52,backhand 
13.74,0.25,1.56,4,-2.62,1.21,backhand 
14.85,-1.63,2.21,3.89,-2.22,0.77,backhand 
16.02,-3.16,1.16,3.96,-1.91,0.19,backhand 
10.81,6.07,12.41,1.24,0.28,2.24,backhand 
10.61,5.73,12.69,1.19,0.29,1.93,backhand 
9.98,5.43,13.02,1.19,0.25,1.68,backhand 
9.07,5.08,13.04,1.19,0.2,1.55,backhand 
8.2,5,13.03,1.16,0.19,1.58,backhand 
8.08,5.06,13.25,1.11,0.18,1.67,backhand 
8.39,5.27,13.99,1.11,0.12,1.83,backhand 
8.88,5.42,14.85,1.22,-0.05,2,backhand 
9.61,5.31,15.46,1.51,-0.2,2.12,backhand 
10.21,4.87,15.56,1.92,-0.33,2.17,backhand 
16.6,-0.08,6.83,2.62,-1.14,-1.02,backhand 
16.08,-0.28,6.11,2.64,-1.83,-1,backhand 
15.63,-0.49,5.11,2.44,-2.22,-0.9,backhand 
15.32,-0.6,4.88,2.08,-2.41,-0.81,backhand 
15,-0.88,5.19,1.74,-2.62,-0.75,backhand 
15.02,-1.75,5.22,1.54,-2.77,-0.71,backhand 
14.72,-2.57,4.94,1.42,-2.96,-0.72,backhand 
14.45,-2.94,4.32,1.2,-3.2,-0.79,backhand 
14.07,-3.26,3.77,0.85,-3.37,-0.89,backhand 
13.26,-3.55,3.6,0.42,-3.45,-0.95,backhand 
11.53,10.75,19.61,0.17,0.48,4.31,backhand 
13.86,10.81,19.61,1.03,0.03,4.29,backhand 
14.39,10.53,17.62,1.7,0.01,3.96,backhand 
13.82,10.29,15.2,2.01,0.18,3.56,backhand 
13.01,9.8,13.47,2.03,0.34,3.24,backhand 
12.09,9.43,12.24,1.84,0.31,3.03,backhand 
11.43,8.77,11.31,1.53,0.14,2.88,backhand 
11.22,7.93,11.63,1.32,-0.03,2.73,backhand 
10.72,6.96,12.22,1.34,-0.15,2.59,backhand 
10.19,6.35,11.88,1.49,-0.23,2.62,backhand 
11.37,-1.58,-0.11,1.28,-1.43,-1.57,backhand 
10.49,-1.74,0.16,1.03,-1.43,-1.43,backhand 
10.51,-2.09,0.33,0.81,-1.58,-1.19,backhand 
11.03,-2.39,0.37,0.55,-1.67,-1.04,backhand 
11.71,-2.71,0.65,0.28,-1.89,-1.04,backhand 
11.28,-3.19,1.02,0.01,-2.15,-1.1,backhand 
10.26,-3.69,1.65,-0.25,-2.21,-1.1,backhand 
9.43,-3.93,2.11,-0.48,-2.08,-0.95,backhand 
8.89,-3.77,2.77,-0.73,-1.93,-0.71,backhand 
8.77,-3.97,3.68,-0.96,-1.8,-0.48,backhand 
8.14,7.37,13.75,0.72,0.62,0.69,backhand 
7.45,7.16,15.31,0.71,0.44,0.83,backhand 
7.19,6.62,16.93,0.97,0.11,1.06,backhand 
7.21,6.04,17.43,1.42,-0.27,1.3,backhand 
7.6,5.47,17.18,1.94,-0.58,1.46,backhand 
8.23,5.41,16.32,2.22,-0.72,1.43,backhand 
8.78,6.28,16.04,2.23,-0.68,1.28,backhand 
8.63,6.76,16.73,2.25,-0.47,1.1,backhand 
7.57,6.31,17.6,2.44,-0.41,1.03,backhand 
6.56,5.77,17.64,2.8,-0.56,1.14,backhand 
9.38,5.49,3.7,4.37,-1.84,0.74,backhand 
9.57,4.53,2.79,4.37,-1.94,0.64,backhand 
9.53,4.01,1.56,4.37,-2.16,0.53,backhand 
9.41,3.61,0.4,4.37,-2.16,0.42,backhand 
9.2,3.21,-0.51,4.12,-2.03,0.37,backhand 
7.91,2.04,-1.14,3.76,-1.88,0.51,backhand 
5.27,0.45,-0.91,3.31,-1.67,1.15,backhand 
5.61,-1.93,3.15,3.45,-1.57,1.92,backhand 
10.74,-4.38,6.82,4.37,-1.81,2.2,backhand 
16.23,-4.35,1.62,4.37,-2.38,1.16,backhand 
9.11,-2.06,6.89,-0.57,-3.19,1.73,backhand 
9.52,-1.69,6.18,-0.84,-2.94,1.65,backhand 
9.62,-1.57,5.86,-1.16,-2.84,1.56,backhand 
9.22,-1.62,5.56,-1.5,-2.89,1.43,backhand 
8.9,-1.49,5.58,-1.86,-2.83,1.29,backhand 
8.52,-1.51,5.87,-2.23,-2.62,1.11,backhand 
8.08,-1.8,6.46,-2.57,-2.28,0.86,backhand 
7.32,-1.98,7.02,-2.83,-1.91,0.62,backhand 
6.63,-1.19,7.07,-2.96,-1.63,0.46,backhand 
6.39,0.03,6.97,-3.02,-1.54,0.29,backhand 
6.42,10.73,19.61,-0.06,2.05,3.78,backhand 
9.43,10.91,19.61,0.72,1.65,3.94,backhand 
11.03,11.13,18.8,1.19,1.6,3.93,backhand 
13.24,11.34,15.58,1.14,1.95,3.7,backhand 
14.95,11.31,15.2,0.94,2.4,3.14,backhand 
15.61,11.45,14.33,0.72,2.61,2.29,backhand 
15.55,11.09,13.85,0.52,2.65,1.45,backhand 
14.05,11.01,14.06,0.35,2.56,0.82,backhand 
12.45,11.48,14.44,0.3,2.49,0.44,backhand 
10.7,11.71,14.92,0.38,2.53,0.31,backhand 
14.27,5.85,1.28,3.66,-1.42,-0.24,backhand 
13.52,5.68,0.41,3.49,-1.73,-0.48,backhand 
13.6,5.79,-0.49,3.22,-1.82,-0.65,backhand 
14.12,5.27,-1.13,2.92,-1.67,-0.88,backhand 
14.22,4.3,-0.94,2.73,-1.66,-1.17,backhand 
13.98,3.38,-0.6,2.64,-1.88,-1.32,backhand 
13.4,2.78,-0.62,2.59,-2.18,-1.31,backhand 
12.96,2.28,-0.51,2.5,-2.48,-1.15,backhand 
12.84,1.51,-0.52,2.38,-2.72,-0.91,backhand 
13.09,0.67,-0.67,2.24,-2.86,-0.74,backhand 
5.68,8.53,18.39,0.23,2.49,1.02,backhand 
5.66,8.77,18.22,0.27,2.23,1.28,backhand 
6.34,9.08,17.98,0.24,2.01,1.54,backhand 
7.21,9.32,17.82,0.18,1.9,1.69,backhand 
7.96,9.27,18.05,0.19,1.8,1.65,backhand 
8.1,9.2,18.29,0.33,1.7,1.58,backhand 
8.17,9.4,17.71,0.56,1.52,1.56,backhand 
7.46,9.62,17.07,0.78,1.28,1.67,backhand 
7.6,9.53,16.77,0.98,0.91,1.79,backhand 
7.98,9.32,16.18,1.17,0.57,1.86,backhand 
9.49,7.05,11.36,2.04,-0.16,0.29,backhand 
9.69,7.19,11.46,2.11,-0.13,0.39,backhand 
9.87,7.02,11.13,2.21,-0.17,0.47,backhand 
10.37,7.1,11.03,2.33,-0.28,0.54,backhand 
11.18,6.91,10.38,2.41,-0.45,0.52,backhand 
11.71,6.71,9.57,2.44,-0.59,0.37,backhand 
11.47,6.8,9.06,2.4,-0.8,0.19,backhand 
10.5,7.25,8.71,2.33,-1.03,0.1,backhand 
9.69,7.51,8.19,2.28,-1.18,0.1,backhand 
10.41,7.68,7.63,2.3,-1.13,0.03,backhand 
10.44,8.14,13.8,0.72,2.83,1.05,backhand 
10.22,8.1,13.67,1.12,3.12,0.91,backhand 
10.33,8.29,13.39,1.3,3.04,0.94,backhand 
11.1,8.73,13.43,1.25,2.63,1.09,backhand 
11.75,8.64,13.57,1.13,1.92,1.26,backhand 
11.88,8.52,13.41,0.98,1.25,1.34,backhand 
12.39,8.73,12.74,0.8,0.96,1.2,backhand 
11.88,8.73,12.97,0.64,0.95,0.84,backhand 
10.72,8.21,13.58,0.65,1.05,0.46,backhand 
9.12,8.15,14.2,0.82,1.2,0.28,backhand 
5.71,11.67,14.69,2.03,0.42,1.69,backhand 
5.92,11.36,14.74,2.27,0.41,1.78,backhand 
6.23,11.33,14.54,2.55,0.44,1.86,backhand 
6.07,11.2,14.35,2.81,0.19,1.92,backhand 
6.62,10.65,14.04,3.12,0.03,1.99,backhand 
7.31,10.47,12.59,3.28,-0.19,1.96,backhand 
7.76,10.59,11.54,3.31,-0.43,1.9,backhand 
8.35,10.93,11.24,3.17,-0.62,1.82,backhand 
9.01,10.96,11.4,3.05,-0.84,1.58,backhand 
9.06,10.49,11.82,3.21,-0.96,1.12,backhand 
-1.69,0.36,19.06,0.01,0.29,0.37,idle
-2.36,0.37,19.12,0.03,0.1,0.5,idle
-3.16,0.13,19.09,0.09,-0.31,0.64,idle
-3.11,-0.11,19.41,0.14,-0.68,0.78,idle
-2.73,-0.47,19.61,0.19,-0.85,0.79,idle
-2.17,-0.17,19.61,0.2,-0.77,0.99,idle
-2.01,-0.22,19.42,0.18,-0.65,1.33,idle
-1.66,0.18,19.5,0.14,-0.65,1.66,idle
-1.03,0.41,19.43,0.05,-0.6,1.8,idle
-0.88,0.48,19.61,-0.02,-0.32,1.8,idle
-1.33,0.07,19.2,-0.09,-0.01,-0.02,idle
-1.29,0.09,19.15,-0.09,-0.01,-0.02,idle
-1.32,0.08,19.1,-0.09,-0.01,-0.03,idle
-1.37,0.1,19.13,-0.08,-0.01,-0.02,idle
-1.35,0.09,19.1,-0.08,0,-0.02,idle
-1.28,0.02,19.12,-0.08,-0.01,-0.02,idle
-1.36,0.06,19.12,-0.09,0,-0.02,idle
-1.27,0.08,19.11,-0.08,-0.01,-0.02,idle
-1.36,0.09,19.1,-0.09,-0.01,-0.02,idle
-1.36,0.07,19.14,-0.09,-0.01,-0.02,idle
-1.37,0.05,19.14,-0.09,-0.01,-0.02,idle
-1.33,0.09,19.11,-0.09,-0.01,-0.02,idle
-1.31,0.13,19.02,-0.08,-0.01,-0.02,idle
-1.37,0.06,19.07,-0.08,-0.01,-0.02,idle
-1.29,0.13,19.04,-0.09,-0.01,-0.02,idle
-1.29,0.09,19.07,-0.09,-0.01,-0.02,idle
-1.28,0.11,19.17,-0.09,0,-0.02,idle
-1.35,0.08,19.04,-0.09,-0.01,-0.02,idle
-1.34,0.11,19.14,-0.08,-0.01,-0.02,idle
-1.3,0.05,19.08,-0.09,-0.01,-0.02,idle
-1.23,0.07,19.15,-0.09,-0.01,-0.02,idle
-1.33,0.09,19.08,-0.09,-0.01,-0.02,idle
-1.41,0.09,19.11,-0.08,0,-0.02,idle
-1.26,0.06,19.15,-0.09,-0.01,-0.02,idle
-1.28,0.08,19.13,-0.08,-0.01,-0.02,idle
-1.37,0.13,19.15,-0.09,-0.01,-0.02,idle
-1.29,0.08,19.07,-0.08,-0.01,-0.02,idle
-1.32,0.07,19.19,-0.09,-0.01,-0.02,idle
-1.32,0.09,19.2,-0.09,-0.01,-0.02,idle
-1.29,0.16,19.11,-0.09,-0.01,-0.02,idle
-1.12,1.7,19.15,-0.07,0.13,-0.29,idle
-1.32,1.59,19.01,-0.05,0.1,-0.36,idle
-1.37,1.46,19.14,-0.05,0.03,-0.37,idle
-1.05,1.51,19.15,-0.05,-0.03,-0.32,idle
-0.86,1.3,19.1,-0.03,-0.1,-0.27,idle
-0.85,0.95,19.21,-0.04,-0.14,-0.25,idle
-0.98,0.82,19.18,-0.04,-0.15,-0.25,idle
-1.12,0.26,19.09,-0.05,-0.07,-0.27,idle
-1.47,0.22,19.11,-0.05,0.01,-0.3,idle
-1.79,0.19,18.96,-0.05,0.05,-0.29,idle
-1.2,0.11,19.13,-0.08,-0.09,-0.02,idle
-1.04,0.09,18.97,-0.08,0.04,-0.02,idle
-1.4,0.1,19.01,-0.1,0.13,-0.02,idle
-1.13,0.04,18.99,-0.09,0.07,-0.02,idle
-1.38,0.02,19.09,-0.1,0.12,-0.02,idle
-1.33,0.08,19.08,-0.09,0.09,-0.03,idle
-1.02,0.09,19,-0.08,-0.14,-0.03,idle
-1.45,-0.01,19.22,-0.09,0.04,-0.02,idle
-1.23,0.09,19.01,-0.08,-0.04,-0.02,idle
-1.39,0.09,19.15,-0.09,0.02,-0.02,idle
-1.3,0.12,19.14,-0.08,-0.01,-0.02,idle
-1.4,0.08,19.09,-0.09,-0.01,-0.02,idle
-1.29,0.09,19.1,-0.09,-0.01,-0.02,idle
-1.3,0.09,19.11,-0.08,-0.01,-0.02,idle
-1.32,0.1,19.17,-0.08,0,-0.02,idle
-1.36,0.06,19.2,-0.08,-0.01,-0.02,idle
-1.3,0.12,19.14,-0.08,-0.01,-0.02,idle
-1.4,0.08,19.09,-0.09,-0.01,-0.02,idle
-1.29,0.09,19.1,-0.09,-0.01,-0.02,idle
-1.3,0.09,19.11,-0.08,-0.01,-0.02,idle
-1.32,0.1,19.17,-0.08,0,-0.02,idle
-1.36,0.06,19.2,-0.08,-0.01,-0.02,idle
-1.32,0.07,19.1,-0.08,-0.01,-0.02,idle
-1.36,0.02,19.15,-0.08,-0.01,-0.02,idle
-1.34,0.11,19.01,-0.08,0,-0.02,idle
-1.36,0.1,19.1,-0.08,-0.01,-0.02,idle
-1.02,0.51,19.21,-0.08,0.02,-0.05,idle
-1.03,1.01,19.17,-0.07,0,-0.09,idle
-0.96,0.83,19.05,-0.07,0,-0.13,idle
-1.02,0.64,19.18,-0.07,0,-0.16,idle
-1.03,0.63,19.22,-0.07,0.02,-0.16,idle
-1.17,0.65,19.16,-0.07,0.02,-0.15,idle
-1.23,0.48,19.12,-0.07,0.01,-0.12,idle
-1.2,0.33,19.02,-0.07,0,-0.09,idle
-1.14,0.07,19.22,-0.08,0.01,-0.09,idle
-1.25,0.09,19.19,-0.08,0.03,-0.07,idle
-0.91,0.35,19.09,-0.09,-0.01,-0.02,idle
-1.07,0.07,19.09,-0.08,-0.01,-0.02,idle
-1.12,0.06,19.1,-0.09,0,-0.02,idle
-1.09,0.14,19.18,-0.08,0.01,-0.02,idle
-0.98,0.06,19.07,-0.08,0.03,-0.02,idle
-1.13,0.03,19.13,-0.07,0.06,-0.02,idle
-1.07,0.08,19.13,-0.07,0.06,-0.02,idle
-1.07,0.1,19.16,-0.07,0.06,-0.02,idle
-1.14,0.07,19.12,-0.07,0.06,-0.02,idle
-1.09,0.03,19.07,-0.07,0.04,-0.03,idle
-1.37,0.23,19.15,-0.13,0,0.24,idle
-1.37,0.32,19.12,-0.11,0,0.23,idle
-1.13,0.44,19.14,-0.12,0,0.18,idle
-1.26,0.3,19.22,-0.1,0,0.14,idle
-1.35,0.08,19.03,-0.11,0,0.12,idle
-1.56,0.07,19.18,-0.1,0,0.14,idle
-1.62,0.08,19.09,-0.11,0,0.16,idle
-1.49,0.16,19.14,-0.11,0,0.18,idle
-1.18,0.43,19.24,-0.11,-0.01,0.14,idle
-1,0.48,19.13,-0.09,-0.02,0.07,idle
-1.32,0.04,19.21,-0.08,-0.01,-0.02,idle
-1.31,0.09,19.13,-0.08,-0.01,-0.02,idle
-1.3,0.07,19.06,-0.08,-0.01,-0.02,idle
-1.42,0.06,19.16,-0.08,-0.01,-0.02,idle
-1.37,0.06,19.16,-0.08,-0.01,-0.02,idle
-1.37,0.04,19.13,-0.08,0,-0.01,idle
-1.4,0.14,19.05,-0.08,-0.01,-0.02,idle
-1.31,0.06,19.13,-0.08,0,-0.02,idle
-1.38,0.1,19.16,-0.08,-0.01,-0.02,idle
-1.34,0.06,19.2,-0.09,-0.01,-0.02,idle
-1.38,0.1,19.13,-0.08,-0.01,-0.03,idle
